
time (s)          v("/Vout" ?resultsDir "/home/netware/users/raposo/simulation/Comparador/spectre/schematic" ?result "tran") (V)

    0                 1.8           
  300u                1.8           
  812.049u            1.8           
    1.40074m          1.8           
    2.57811m          1.8           
    4.93286m          1.8           
    9.64236m          1.8           
   15.6424m           1.8           
   21.6424m           1.8           
   27.6424m           1.8           
   33.6424m           1.8           
   39.6424m           1.8           
   45.6424m           1.8           
   51.6424m           1.8           
   53.1424m           1.8           
   56.1424m           1.79999       
   62.1424m           1.79973       
   68.1424m           1.79514       
   74.1424m           1.77784       
   75.6424m           1.77768       
   76.3924m           1.77879       
   77.8924m           1.78308       
   80.8924m           1.79293       
   85.5116m           1.79909       
   90.9264m           1.79996       
   92.4264m           1.79996       
   95.4264m           1.80001       
  101.426m            1.79998       
  102.926m            1.80001       
  105.926m            1.79998       
  107.426m            1.80001       
  110.426m            1.79999       
  116.426m            1.80001       
  122.426m            1.79999       
  128.426m            1.80001       
  134.426m            1.79999       
  140.426m            1.80001       
  146.426m            1.79998       
  152.426m            1.80001       
  158.426m            1.79995       
  164.426m            1.79915       
  170.426m            1.78901       
  171.926m            1.78364       
  174.926m            1.77741       
  176.116m            1.77813       
  176.711m            1.77971       
  177.901m            1.78298       
  180.189m            1.79093       
  183.52m             1.79768       
  187.801m            1.79966       
  193.801m            1.80004       
  199.801m            1.79995       
  205.801m            1.80005       
  211.801m            1.79995       
  217.801m            1.80005       
  223.801m            1.79995       
  229.801m            1.80005       
  235.801m            1.79995       
  241.801m            1.80005       
  247.801m            1.79995       
  253.801m            1.80005       
  259.801m            1.79987       
  265.801m            1.79835       
  271.801m            1.78433       
  273.301m            1.7792        
  274.051m            1.77831       
  275.551m            1.77719       
  276.154m            1.77864       
  277.361m            1.78112       
  279.354m            1.7883        
  281.809m            1.7951        
  285.278m            1.79887       
  291.278m            1.80007       
  295.639m            1.79988       
  300m                1.80011       
